"ExerciseId","Verdict","PreviousName","CurrentName","PreviousMetadata","CurrentMetadata","ActualFinalDemonstration","ExactCorrection","Reason","FullLoop","Crop","LoopSeam","PlaybackSpeed","Mirroring","Travel","HoldFrame","Equipment"
"15","CORRECTED","Alternating Standing Hamstring Curls","Alternating Standing Hamstring Curls","name=Alternating Standing Hamstring Curls | demand=1 | primary=PosteriorThighAndKneeFlexors | secondary=[GlutealExtensors;HipAbductors;DeepAndIntersegmentalBack;CalfDeepPosteriorLegAndPlantarFoot] | practice=Bodyweight conditioning | motion=StandingHamstringCurl | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[15:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Alternating Standing Hamstring Curls | demand=1 | primary=PosteriorThighAndKneeFlexors | secondary=[GlutealExtensors;HipAbductors;DeepAndIntersegmentalBack;CalfDeepPosteriorLegAndPlantarFoot] | practice=Bodyweight conditioning | motion=StandingHamstringCurl | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[15:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Alternating Standing Hamstring Curls as named.","soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"16","CORRECTED","Split-Stance Toe Raises","Split-Stance Toe Raises","name=Split-Stance Toe Raises | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[HipAbductors;GlutealExtensors;CalfDeepPosteriorLegAndPlantarFoot] | practice=Standing ankle strengthening | motion=ToeRaise | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[16:ScreenRight:None:False:Full;16:ScreenLeft:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Incompatible","name=Split-Stance Toe Raises | demand=1 | primary=AnteriorLateralLowerLegAndDorsalFoot | secondary=[HipAbductors;GlutealExtensors;CalfDeepPosteriorLegAndPlantarFoot] | practice=Standing ankle strengthening | motion=ToeRaise | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenRightThenLeft | direction=None | blocks=[16:ScreenRight:None:False:Full;16:ScreenLeft:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Incompatible","The complete packaged loop demonstrates Split-Stance Toe Raises as named.","soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"17","CORRECTED","Standing Toe-Touch Windmill","Standing Toe-Touch Windmill","name=Standing Toe-Touch Windmill | demand=0 | primary=DeepAndIntersegmentalBack | secondary=[PosteriorThighAndKneeFlexors;GlutealExtensors;AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot] | practice=Standing mobility | motion=ToeTouchWindmill | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[17:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Standing Toe-Touch Windmill | demand=0 | primary=DeepAndIntersegmentalBack | secondary=[PosteriorThighAndKneeFlexors;GlutealExtensors;AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot] | practice=Standing mobility | motion=ToeTouchWindmill | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[17:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Incompatible","The complete packaged loop demonstrates Standing Toe-Touch Windmill as named.","hardFloorCompatibility: Compatible => Incompatible | soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"19","CORRECTED","Wide Plie Squat Pulses","Wide Plie Squat Pulses","name=Wide Plie Squat Pulses | demand=2 | primary=AccessoryHipAdductors | secondary=[HipAbductors;DeepHipRotators;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Ballet conditioning | motion=PliePulse | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[19:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Wide Plie Squat Pulses | demand=2 | primary=AccessoryHipAdductors | secondary=[HipAbductors;DeepHipRotators;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Ballet conditioning | motion=PliePulse | mode=Repetition | presentation=Motion | holdFrame=0 | side=Continuous | direction=None | blocks=[19:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Incompatible","The complete packaged loop demonstrates Wide Plie Squat Pulses as named.","hardFloorCompatibility: Compatible => Incompatible | soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"20","CORRECTED","Standing Rear-Leg Pulses","Standing Rear-Leg Pulses","name=Standing Rear-Leg Pulses | demand=1 | primary=PosteriorThighAndKneeFlexors | secondary=[GlutealExtensors;HipFlexors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Standing lower-body conditioning | motion=RearLegPulse | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[20:ScreenLeft:None:False:Full;20:ScreenRight:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Standing Rear-Leg Pulses | demand=1 | primary=PosteriorThighAndKneeFlexors | secondary=[GlutealExtensors;HipFlexors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Standing lower-body conditioning | motion=RearLegPulse | mode=Repetition | presentation=Motion | holdFrame=0 | side=ScreenLeftThenRight | direction=None | blocks=[20:ScreenLeft:None:False:Full;20:ScreenRight:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Standing Rear-Leg Pulses as named.","soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"21","CORRECTED","Standing-Scale Balance Hold","Standing-Scale Balance Hold","name=Standing-Scale Balance Hold | demand=2 | primary=SpinalExtensors | secondary=[GlutealExtensors;PosteriorThighAndKneeFlexors;DeepAndIntersegmentalBack;CalfDeepPosteriorLegAndPlantarFoot] | practice=Balance training | motion=BackBalance | mode=Hold | presentation=Still | holdFrame=50 | side=ScreenLeftThenRight | direction=None | blocks=[21:ScreenLeft:None:False:Full;21:ScreenRight:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Standing-Scale Balance Hold | demand=2 | primary=SpinalExtensors | secondary=[GlutealExtensors;PosteriorThighAndKneeFlexors;DeepAndIntersegmentalBack;CalfDeepPosteriorLegAndPlantarFoot] | practice=Balance training | motion=BackBalance | mode=Hold | presentation=Still | holdFrame=50 | side=ScreenLeftThenRight | direction=None | blocks=[21:ScreenLeft:None:False:Full;21:ScreenRight:None:True:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Standing-Scale Balance Hold as named.","soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"31","CORRECTED","Alternating Knee Raises with Two-Arm Pull-Down","Alternating Knee Raises with Two-Arm Pull-Down","name=Alternating Knee Raises with Two-Arm Pull-Down | demand=1 | primary=HipFlexors | secondary=[ShoulderAdductorsAndExtensors;ShoulderAbductors;ScapularGirdle;ElbowFlexors;AbdominalWall] | practice=Low-impact conditioning | motion=KneeRaiseTwoArmPulldown | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[31:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Alternating Knee Raises with Two-Arm Pull-Down | demand=1 | primary=HipFlexors | secondary=[ShoulderAdductorsAndExtensors;ShoulderAbductors;ScapularGirdle;ElbowFlexors;AbdominalWall] | practice=Low-impact conditioning | motion=KneeRaiseTwoArmPulldown | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[31:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","The complete packaged loop demonstrates Alternating Knee Raises with Two-Arm Pull-Down as named.","soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"32","CORRECTED","Tandem Walk","Tandem Walk","name=Tandem Walk | demand=0 | primary=CalfDeepPosteriorLegAndPlantarFoot | secondary=[Soleus;AnteriorLateralLowerLegAndDorsalFoot;DeepAndIntersegmentalBack] | practice=Gait retraining | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[32:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","name=Tandem Walk | demand=0 | primary=CalfDeepPosteriorLegAndPlantarFoot | secondary=[Soleus;AnteriorLateralLowerLegAndDorsalFoot;DeepAndIntersegmentalBack;PelvicFloorAndPerineum] | practice=Gait retraining | motion=WalkingStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[32:None:None:False:Full] | sessionMovement= | insect=Incompatible | hardFloor=Compatible","The complete packaged loop demonstrates Tandem Walk as named.","secondaryCanonicalGroups: [""Soleus"",""AnteriorLateralLowerLegAndDorsalFoot"",""DeepAndIntersegmentalBack""] => [""Soleus"",""AnteriorLateralLowerLegAndDorsalFoot"",""DeepAndIntersegmentalBack"",""PelvicFloorAndPerineum""] | soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","Associations were trimmed to meaningful visible mechanics; pelvic-floor involvement is retained only as evidence-supported secondary work for gait, single-leg support, or impact.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"37","CORRECTED","Side Shuffle","Side Shuffle","name=Side Shuffle | demand=1 | primary=HipAbductors | secondary=[GlutealExtensors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Low-impact aerobics | motion=SideStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[37:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Side Shuffle | demand=1 | primary=HipAbductors | secondary=[GlutealExtensors;MedialAndDeepKneeExtensors;LateralKneeExtensors;CalfDeepPosteriorLegAndPlantarFoot;AnteriorLateralLowerLegAndDorsalFoot] | practice=Low-impact aerobics | motion=SideStep | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[37:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Incompatible","The complete packaged loop demonstrates Side Shuffle as named.","hardFloorCompatibility: Compatible => Incompatible | soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
"41","CORRECTED","Alternating Reverse Lunge with Knee Drive","Alternating Reverse Lunge with Knee Drive","name=Alternating Reverse Lunge with Knee Drive | demand=2 | primary=GlutealExtensors | secondary=[PosteriorThighAndKneeFlexors;MedialAndDeepKneeExtensors;LateralKneeExtensors;HipFlexors;HipAbductors;AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot] | practice=Bodyweight conditioning | motion=ReverseLungeKneeDrive | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[41:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Compatible","name=Alternating Reverse Lunge with Knee Drive | demand=2 | primary=GlutealExtensors | secondary=[PosteriorThighAndKneeFlexors;MedialAndDeepKneeExtensors;LateralKneeExtensors;HipFlexors;HipAbductors;AbdominalWall;CalfDeepPosteriorLegAndPlantarFoot] | practice=Bodyweight conditioning | motion=ReverseLungeKneeDrive | mode=Repetition | presentation=Motion | holdFrame=0 | side=Alternating | direction=None | blocks=[41:None:None:False:Full] | sessionMovement= | insect=Compatible | hardFloor=Incompatible","The complete packaged loop demonstrates Alternating Reverse Lunge with Knee Drive as named.","hardFloorCompatibility: Compatible => Incompatible | soleWallContactRequired: <none> => False | upperBodyClothingRequirement: <none> => Agnostic | wallRequired: <none> => False","The full loop supports the named movement, but inherited or duplicative secondary associations were removed so only meaningful involvement remains.","PASS","PASS","PASS","PASS","PASS","PASS","PASS or not applicable","PASS"
