id,label,kind,region,notes,parents
3x3_basketball,3x3 basketball,practice,Global,,sport_ball_team:contains
acro_circus,Circus movement disciplines,family,Global,,acrobatics:contains
acro_dance,Acro dance,practice,Global,,acro_gymnastics:contains
acro_gymnastics,Gymnastics disciplines,family,Global,,acrobatics:contains
acro_object,Juggling & object manipulation,family,Global,,acrobatics:contains
acrobatic_gymnastics,Acrobatic gymnastics,practice,Global,,acro_gymnastics:contains
acrobatics,"Acrobatics, circus & object manipulation",domain,,,movement:contains
acroyoga,Acroyoga,practice,South Asia / global,,somatics_yoga:contains | acro_circus:cross-link | play_improv:cross-link
adaptive_climbing,Adaptive climbing,practice,Global,,healing_adaptive:contains
adaptive_yoga,Adaptive yoga,practice,Global,,healing_adaptive:contains
adumu,Adumu,practice,Africa,,dance_african:contains
adventure_racing,Adventure racing,practice,Global,,sport_multisport:contains
aerial_hoop,Aerial hoop,practice,Global,,acro_circus:contains
aerial_silks,Aerial silks,practice,Global,,acro_circus:contains
aerial_yoga,Aerial yoga,practice,South Asia / global,,somatics_yoga:contains
aerobic_gymnastics,Aerobic gymnastics,practice,Global,,acro_gymnastics:contains
aerobics,Aerobics,practice,Global,,fitness_endurance:contains
afro_cuban_rumba,Afro-Cuban rumba,practice,African diaspora,,dance_afrodiasporic:contains
agbadza,Agbadza,practice,Africa,,dance_african:contains
aid_climbing,Aid climbing,practice,Global,,locomotion_climbing:contains
aikido,Aikido,practice,Eurasia,,combat_internal:contains | somatics_western:cross-link
alexander_technique,Alexander Technique,practice,Western / global,,somatics_western:contains
alpine_skiing,Alpine skiing,practice,Cold climates,,sport_winter:contains
american_football,American football,practice,Global,,sport_ball_team:contains
amputee_running,Amputee running,practice,Global,,healing_adaptive:contains
andean_tinku_dance,Andean tinku dance,practice,Americas,,dance_indigenous_americas:contains
animal,Animal-partnered movement,domain,,,movement:contains
animal_equestrian,Equestrian movement cultures,family,Global,,animal:contains
animal_flow,Animal Flow,practice,Global,,fitness_natural:contains
animal_imitation_movement,Animal imitation movement,practice,Global,,play_improv:contains
animal_other,Other animal-partnered movement,family,Global,,animal:contains
apsara_dance,Apsara dance,practice,Southeast Asia,,dance_se_asia:contains
aquafitness,Aquafitness,practice,Global,,fitness_endurance:contains
aquathlon,Aquathlon,practice,Global,,sport_multisport:contains
aquatic,Aquatic & underwater movement,domain,,,movement:contains
aquatic_boards,Board & wave riding,family,Global,,aquatic:contains
aquatic_boats,Paddling & rowing movement,family,Global,,aquatic:contains
aquatic_dive,Diving & underwater movement,family,Global,,aquatic:contains
aquatic_swim,Swimming cultures & strokes,family,Global,,aquatic:contains
aquatic_therapy,Aquatic therapy,practice,Global,,healing_rehab:contains
archery,Archery,practice,Global,,sport_precision:contains
argentine_tango,Argentine tango,practice,Global,,dance_ballroom:contains
arm_wrestling,Arm wrestling,practice,Global,,sport_strength:contains
arnis_eskrima_kali,Arnis / Eskrima / Kali,practice,Global,,combat_weapon:contains
artistic_gymnastics,Artistic gymnastics,practice,Global,,acro_gymnastics:contains
