"ID","Name","Catalog practice","Direct DAG nodes","Mapping specificity","Primary domains","All-path domains","Primary families","All-path families","Added in this pass"
"15","Alternating Standing Hamstring Curls","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"16","Split-Stance Toe Raises","Standing ankle strengthening","fitness_resistance","Family","fitness","fitness","fitness_resistance","fitness_resistance","False"
"17","Standing Toe-Touch Windmill","Standing mobility","fitness","Domain","fitness","fitness","","","False"
"19","Wide Plie Squat Pulses","Ballet conditioning","ballet","Practice","dance","dance","dance_stage","dance_stage","False"
"20","Standing Rear-Leg Pulses","Standing lower-body conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"21","Standing-Scale Balance Hold","Balance training","fitness","Domain","fitness","fitness","","","False"
"31","Alternating Knee Raises with Two-Arm Pull-Down","Low-impact conditioning","fitness_endurance","Family","fitness","fitness","fitness_endurance","fitness_endurance","False"
"32","Tandem Walk","Gait retraining","gait_retraining","Practice","healing","healing","healing_rehab","healing_rehab","True"
"37","Side Shuffle","Low-impact aerobics","aerobics","Practice","fitness","fitness","fitness_endurance","fitness_endurance","True"
"41","Alternating Reverse Lunge with Knee Drive","Bodyweight conditioning","calisthenics","Practice","fitness","fitness","fitness_resistance","fitness_resistance","False"
"47","Tandem-Stance Head Turns","Balance and vestibular training","vestibular_rehabilitation","Practice","healing","healing","healing_rehab","healing_rehab","False"
"56","Shibashi Shallow Squat with Arm Float","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"58","Bhangra Chaal","Bhangra","bhangra","Practice","dance","dance","dance_south_asia","dance_south_asia","True"
"59","Shibashi Side Shift with Rainbow Reach","Taiji Qigong Shibashi","qigong","Practice","somatics","healing;ritual;somatics","somatics_chinese","healing_rehab;ritual_devotional;somatics_chinese","False"
"60","Low-Impact Skater Step","Low-impact aerobics","aerobics","Practice","fitness","fitness","fitness_endurance","fitness_endurance","True"
"92","Capoeira Ginga","Capoeira","capoeira","Practice","combat","acrobatics;combat;dance;play;ritual","combat_regional","acro_gymnastics;combat_regional;dance_afrodiasporic;play_improv;ritual_procession","False"
