"ID","Name","Qualifying capacities","Primary capacity","DAG practice node","Why added","Human demonstration","Review"
"32","Tandem Walk","Balance;Stepping","Balance","gait_retraining","Traveling heel-to-toe gait materially narrows the base of support and demands precise foot placement.","https://www.youtube.com/watch?v=MuueTXaBJ3k","Keep; high confidence"
"37","Side Shuffle","Stamina;Stepping;Strength","Stamina","aerobics","Continuous lateral acceleration and deceleration in an athletic stance add quiet frontal-plane conditioning.","https://www.youtube.com/watch?v=mziPKITnPeQ","Keep; high confidence"
"41","Backward Walking","Balance;Stepping","Stepping","backward_walking","Backward initiation, clearance, and weight acceptance add a genuinely absent direction of gait.","https://www.youtube.com/watch?v=vKqW6H6vFNg","Keep; high confidence"
"47","Walking with Horizontal Head Turns","Balance;Stepping","Balance","vestibular_rehabilitation","Head turns create a meaningful self-generated visual and vestibular disturbance while gait continues.","https://www.youtube.com/watch?v=7sWMnimbwOU","Keep; high confidence"
"56","Hula Kāholo","Stepping;Strength;Stamina","Stepping","hula","Side-close-side-tap weight transfer in a sustained bent-knee stance adds lateral gait skill and leg endurance.","https://www.youtube.com/watch?v=KoSNSTYuhKM","Keep; high confidence"
"58","Bhangra Chaal","Balance;Stamina;Stepping","Stamina","bhangra","Large alternating knee and heel actions with overhead arm coordination make a vigorous whole-body round.","https://www.youtube.com/watch?v=DnJ-VgJG_5I","Keep; high confidence"
"59","Samba no Pé Basic","Balance;Stamina;Stepping","Stamina","samba","Continuous syncopated triple-foot action and weight transfer provide compact whole-body conditioning.","https://www.youtube.com/watch?v=bHPqea1FUzU","Keep; high confidence"
"60","Low-Impact Skater Step","Balance;Strength;Stamina;Stepping","Stamina","aerobics","Wide alternating lateral steps and a low stance create systemic effort without a jump or flight phase.","https://www.youtube.com/watch?v=zVe2WPPCHAQ","Keep; high confidence"
"167","High-Knee March","Balance;Stamina;Stepping","Stamina","running","Reciprocal knee drive and contralateral arm action provide a quiet running-mechanics and endurance drill.","https://www.youtube.com/watch?v=0U_Gi19HiGo","Keep; high confidence"
"625","Wing Chun Juen Ma Turning Stance","Balance;Strength;Mobility","Balance","wing_chun","Repeated left-centre-right weight shifts and stance pivots train controlled turning and lower-body endurance.","https://www.youtube.com/watch?v=QC6vp0Wpumc","Keep; high confidence"
